source,destination,delay_value
8,0,8439.088462855492
8,0,20156.671999999904
8,0,12485.429736761842
8,0,46178.622204891406
8,0,29521.45790510904
8,0,22526.17985650804
8,0,27804.235916130245
8,0,1201645.2504801098
8,0,125862.76243656129
8,1,25578.69727175741
8,1,19710.005362838157
8,1,13835.791020890232
8,1,53788.526621453464
8,1,28498.274267864414
8,1,5328.480000000447
8,1,6243.735242487863
8,1,21989.230834334157
8,1,17437.72977124341
8,1,10271.151999995112
8,1,85908.57514812797
8,1,21435.060081453994
8,1,11647.50422503613
8,1,8124.580507388338
8,1,23389.59413128905
8,2,4324.815999999642
8,2,5792.223999999929
8,2,3166.3360000001267
8,2,2859.5977793456987
8,2,3320.8000000002794
8,2,4324.816000000108
8,2,3552.4960000002757
8,2,9422.128000000492
8,2,6256.260632636026
8,2,3089.1039999984205
8,2,4402.048000000417
8,2,3243.56799999997
8,2,2369.748386077583
8,2,10629.315191047266
8,3,17990.793685723744
8,3,5637.407999999938
8,3,28204.604798107874
8,3,507502.7020349391
8,3,9243.749763086438
8,3,22786.574190156534
8,3,24347.66917006485
8,3,7027.4079999979585
8,4,20929.167999999598
8,4,24522.54405795457
8,4,13584.520140273962
8,4,24414.685942686163
8,4,18760.83310742164
8,4,37870.860709666274
8,4,13123.698172277771
8,4,5946.336000001058
8,4,1177701.1374217784
8,5,3706.9599999999627
8,5,1930.6240000003017
8,5,195107.88640156947
8,5,9296.691743522882
8,5,442292.76821812056
8,5,16932.28800000064
8,5,426664.52248989604
8,5,16612.395568390377
8,5,604632.0579361646
8,5,3243.56799999997
8,5,7225.560940572992
8,5,2471.247999999672
8,5,11661.504000000656
8,6,15631.8760678799
8,6,4844.796384492423
8,6,29924.80942637415
8,6,8423.840316458605
8,6,61646.41723816376
8,6,14139.548024009913
8,6,12047.663999999873
8,6,6965913.5927949995
8,6,6795.887999998406
8,6,2779.9999999981374
8,7,25863.03633934795
8,7,90148.58441741765
8,7,66385.5670612054
8,7,16938.939027042128
8,9,6332.319999999832
8,9,46687.374405894894
8,9,238689.5930067841
8,9,271425.0425625695
8,9,12484.780759202316
8,10,3513.3396797755267
8,10,2471.247999999905
8,10,4255.804783067899
8,10,5243.296090111136
8,10,15155.952000000514
8,10,9369.593486412428
8,10,4250.82099806238
8,10,3626.3768763486296
8,10,3320.7999999998137
8,10,3495.3639986598864
8,10,2625.7120000002906
8,10,3229.2582512628287
8,10,4556.512000000104
8,10,8107.842794524506
8,11,12910.56729676816
8,11,11564.227810916142
8,11,15481.694517352153
8,11,50601.8027761681
8,11,23273.426481436007
8,11,3405077.897823589
8,11,36942.21221649181
8,11,6981.144391601905
10,0,11944.471934315166
10,0,25386.33645474806
10,0,8572.399999999441
10,0,2481587.57359079
10,0,6023.744000000879
10,0,36078.974917468615
10,0,10325.536919979379
10,1,20804.692710534204
10,1,7552.584787556436
10,1,9575.455815577414
10,1,15155.776000000536
10,1,4731.06983561255
10,1,18663.146431883797
10,1,11275.344000000507
10,1,5792.048000000417
10,1,2433581.0203111456
10,1,9190.080000001937
10,1,9680.954419916496
10,1,18955.77391980216
10,1,790877.871559741
10,2,6486.959999999963
10,2,19161.489349088515
10,2,1930.623999999836
10,2,5251.4240000001155
10,2,8031.952000000048
10,2,2054.5209241034463
10,2,18075.379542830866
10,2,7568.384000000544
10,2,2085.087999999523
10,2,20770.243930142373
10,2,4634.1429744288325
10,2,5869.279999997467
10,3,149679.1019112731
10,3,129298.8416301664
10,3,21681.048156239092
10,3,5560.351999999955
10,3,14673.552000000142
10,3,19468.36800000351
10,3,313575.04359849263
10,3,569557.885252405
10,3,325088.14657210093
10,3,10655.813858475536
10,3,7645.616000000387
10,4,22236.916292993817
10,4,6409.904000001028
10,4,28393.115517067723
10,4,5729.860820909031
10,4,3761210.8385139676
10,4,11923.32559845224
10,4,22689.622491940856
10,4,10552745.169764286
10,5,19370.130580652447
10,5,6255.439999999944
10,5,10376.08887810912
10,5,116674.43792717624
10,5,17376.092872903682
