source,destination,delay_value
0,1,2548.4799999999814
0,1,4439.1703840259
0,1,9174.407410651445
0,1,24930.437102864962
0,1,2934.6400000001304
0,1,39601.037250783294
0,1,9422.128000000492
0,1,39308.48443805147
0,1,3862.0055432925
0,1,7555.246669653803
0,1,61696.76616748236
0,1,4782.3568843491375
0,1,6117.908938140608
0,1,10272.331566680223
0,1,50462.231324035674
0,1,35580.97796462104
0,1,50637.81632424705
0,2,2548.4799999999814
0,2,4439.1703840259
0,2,9174.407410651445
0,2,24930.437102864962
0,2,2934.6400000001304
0,2,39601.037250783294
0,2,9422.128000000492
0,2,37841.252438051626
0,2,3862.0055432925
0,2,7555.246669653803
0,2,61696.76616748236
0,2,11655.652884350158
0,2,6117.908938140608
0,2,10272.331566680223
0,2,50462.231324035674
0,2,35580.97796462104
0,2,54113.08032424562
0,3,2548.4799999999814
0,3,4439.1703840259
0,3,9174.407410651445
0,3,24930.437102864962
0,3,2934.6400000001304
0,3,39601.037250783294
0,3,9422.128000000492
0,3,37841.252438051626
0,3,3862.0055432925
0,3,7555.246669653803
0,3,61696.76616748236
0,3,4782.3568843491375
0,3,6117.908938140608
0,3,10272.331566680223
0,3,50462.231324035674
0,3,35580.97796462104
0,3,50637.81632424705
0,4,2548.4799999999814
0,4,4439.1703840259
0,4,9174.407410651445
0,4,27865.077102864627
0,4,2934.6400000001304
0,4,39601.037250783294
0,4,9422.128000000492
0,4,43324.19643805269
0,4,3862.0055432925
0,4,7555.246669653803
0,4,61696.76616748236
0,4,4782.3568843491375
0,4,6117.908938140608
0,4,10272.331566680223
0,4,50462.231324035674
0,4,35580.97796462104
0,4,50637.81632424705
0,5,4015.711999999825
0,5,11436.027563086944
0,5,12031.815410651267
0,5,27865.077102864627
0,5,4401.87200000044
0,5,41068.269250783604
0,5,10889.360000000335
0,5,39308.48443805147
0,5,5252.0055432925
0,5,10335.422669654712
0,5,65326.49416748341
0,5,8721.012884349562
0,5,7894.068938140757
0,5,15214.827566679567
0,5,52083.92732403427
0,5,36970.97796462104
0,5,54113.08032424562
0,6,2548.4799999999814
0,6,4439.1703840259
0,6,9174.407410651445
0,6,24930.437102864962
0,6,2934.6400000001304
0,6,40991.037250783294
0,6,9422.128000000492
0,6,37841.252438051626
0,6,3862.0055432925
0,6,7555.246669653803
0,6,61696.76616748236
0,6,4782.3568843491375
0,6,6117.908938140608
0,6,10272.331566680223
0,6,50462.231324035674
0,6,35580.97796462104
0,6,50637.81632424705
0,7,7954.191999999806
0,7,5906.402384025743
0,7,10564.407410651445
0,7,31803.557102864608
0,7,6100.800000000745
0,7,47246.47725078324
0,7,13823.824000000954
0,7,10194.501543293707
0,7,11493.72666965425
0,7,68620.38362887595
0,7,16991.44488434866
0,7,9284.244938140735
0,7,11662.331566680223
0,7,58879.99132403359
0,7,37279.90596462041
0,7,52800.136324247345
0,8,5906.402384025743
0,8,12031.815410651267
0,8,26552.13310286496
0,8,4401.87200000044
0,8,41068.269250783604
0,8,12279.360000000335
0,8,39308.48443805147
0,8,8341.285543294623
0,8,25240.846669655293
0,8,65326.49416748341
0,8,11655.652884350158
0,8,7894.068938140757
0,8,12975.275566680357
0,8,52083.92732403427
0,8,38669.90596462041
0,8,54113.08032424562
0,9,10564.407410651445
0,9,26552.13310286496
0,9,4401.87200000044
0,9,41840.589250783436
0,9,10889.360000000335
0,9,40080.80443805177
0,9,5252.0055432925
0,9,12111.758669653907
0,9,63086.76616748236
0,9,8721.012884349562
0,9,9284.244938140735
0,9,53783.03132403456
0,9,37279.90596462041
0,9,52800.136324247345
0,10,5869.1039999998175
0,10,5906.402384025743
0,10,12031.815410651267
0,10,27865.077102864627
0,10,24327.552000000607
0,10,41068.269250783604
0,10,13823.824000000954
0,10,40698.48443805147
0,10,7028.341543292627
0,10,25240.846669655293
0,10,72431.48616748303
0,10,14204.132884350605
0,10,7894.068938140757
0,10,12975.275566680357
0,10,52083.92732403427
0,10,37279.90596462041
0,10,54113.08032424562
0,11,3938.4799999999814
0,11,7219.346384025877
0,11,10564.407410651445
0,11,27865.077102864627
0,11,4401.87200000044
0,11,40991.037250783294
0,11,10812.128000000492
0,11,40852.94843805209
0,11,5483.701543292962
0,11,9099.710669654422
0,11,64554.174167483114
0,11,6481.284884349443
0,11,7894.068938140757
0,11,11662.331566680223
0,11,52083.927324036136
0,11,37279.90596462041
0,11,52800.136324247345
0,12,2548.4799999999814
0,12,4439.1703840259
0,12,9174.407410651445
0,12,24930.437102864962
0,12,2934.6400000001304
0,12,39601.037250783294
0,12,9422.128000000492
0,12,37841.252438051626
0,12,3862.0055432925
0,12,7555.246669653803
0,12,61696.76616748236
0,12,4782.3568843491375
0,12,6117.908938140608
0,12,10272.331566680223
0,12,50462.231324035674
0,12,35580.97796462104
0,12,50637.81632424705
0,13,6100.799999999814
0,13,5906.402384025743
0,13,10564.407410651445
0,13,29255.077102864627
0,13,4401.87200000044
0,13,44311.837250783574
0,13,12202.128000000492
0,13,43324.19643805269
0,13,8495.573543293402
0,13,9099.710669654422
0,13,64554.174167483114
0,13,13516.180884348229
0,13,9284.244938140735
0,13,11662.331566680223
0,13,52083.927324036136
0,13,37279.90596462041
0,13,52800.136324247345
0,14,5869.1039999998175
0,14,5906.402384025743
0,14,12031.815410651267
0,14,27865.077102864627
0,14,24327.552000000607
0,14,41068.269250783604
0,14,13823.824000000954
0,14,40698.48443805147
0,14,7028.341543292627
0,14,25240.846669655293
0,14,69728.5421674829
0,14,12350.74088434875
0,14,7894.068938140757
0,14,12975.275566680357
0,14,52083.92732403427
0,14,37279.90596462041
0,14,54113.08032424562
0,15,2548.4799999999814
0,15,4439.1703840259
0,15,9174.407410651445
0,15,24930.437102864962
0,15,2934.6400000001304
0,15,39601.037250783294
0,15,9422.128000000492
0,15,37841.252438051626
0,15,3862.0055432925
0,15,7555.246669653803
0,15,61696.76616748236
0,15,4782.3568843491375
0,15,6117.908938140608
0,15,10272.331566680223
0,15,50462.231324035674
0,15,35580.97796462104
0,15,50637.81632424705
0,16,2548.4799999999814
0,16,4439.1703840259
0,16,9174.407410651445
0,16,24930.437102864962
0,16,2934.6400000001304
0,16,39601.037250783294
0,16,9422.128000000492
0,16,37841.252438051626
0,16,3862.0055432925
0,16,7555.246669653803
0,16,61696.76616748236
0,16,4782.3568843491375
0,16,6117.908938140608
0,16,10272.331566680223
0,16,50462.231324035674
0,16,35580.97796462104
0,16,50637.81632424705
0,17,2548.4799999999814
0,17,4439.1703840259
0,17,9174.407410651445
0,17,24930.437102864962
0,17,2934.6400000001304
0,17,39601.037250783294
0,17,9422.128000000492
0,17,37841.252438051626
0,17,3862.0055432925
0,17,7555.246669653803
0,17,61696.76616748236
0,17,4782.3568843491375
0,17,6117.908938140608
0,17,10272.331566680223
0,17,50462.231324035674
0,17,35580.97796462104
0,17,50637.81632424705
0,18,2548.4799999999814
0,18,4439.1703840259
0,18,9174.407410651445
0,18,24930.437102864962
0,18,2934.6400000001304
0,18,39601.037250783294
0,18,9422.128000000492
0,18,37841.252438051626
0,18,3862.0055432925
0,18,7555.246669653803
0,18,61696.76616748236
0,18,4782.3568843491375
0,18,6117.908938140608
0,18,10272.331566680223
0,18,50462.231324035674
0,18,35580.97796462104
0,18,50637.81632424705
0,19,5906.402384025743
0,19,12031.815410651267
0,19,26552.13310286496
0,19,4401.87200000044
0,19,41068.269250783604
0,19,12279.360000000335
0,19,39308.48443805147
0,19,7028.341543292627
0,19,25240.846669655293
0,19,65326.49416748341
0,19,11655.652884350158
0,19,7894.068938140757
0,19,12975.275566680357
0,19,52083.92732403427
0,19,38669.90596462041
0,19,54113.08032424562
0,20,2548.4799999999814
0,20,4439.1703840259
0,20,9174.407410651445
0,20,24930.437102864962
0,20,2934.6400000001304
0,20,39601.037250783294
0,20,9422.128000000492
0,20,40852.94843805209
0,20,3862.0055432925
0,20,7555.246669653803
0,20,61696.76616748236
0,20,4782.3568843491375
0,20,6117.908938140608
0,20,10272.331566680223
0,20,50462.231324035674
0,20,35580.97796462104
0,20,50637.81632424705
0,21,2548.4799999999814
0,21,4439.1703840259
0,21,9174.407410651445
0,21,24930.437102864962
0,21,2934.6400000001304
0,21,39601.037250783294
0,21,9422.128000000492
0,21,37841.252438051626
0,21,3862.0055432925
0,21,7555.246669653803
