source,destination,delay_value
14,0,27115.373570502787
14,0,18765.119999999995
14,0,5476.239999999991
14,0,1614.6399999998976
14,0,3313.743999999948
14,0,2464.192000000272
14,0,2078.032000000123
14,0,4008.8319999999367
14,0,2464.192000000272
14,0,4626.688000000082
14,0,996.7839999999851
14,0,1460.1759999999776
14,0,1151.2480000001378
14,0,1846.3360000001267
14,0,2386.9599999999627
14,0,2000.7999999998137
14,0,2309.728000000119
14,0,2078.0320000005886
14,0,4858.384000000544
14,0,1846.3360000001267
14,0,3468.2080000005662
14,0,2695.888000000268
14,0,2309.728000000119
14,0,2078.0320000005886
14,0,2000.7999999998137
14,0,2078.0320000005886
21,0,168547.7871823103
21,0,243433.3055878915
21,0,95297.05599999998
21,0,22390.04799999972
21,0,1074.0159999998286
21,0,20922.639999999898
21,0,8951.679999999702
21,0,6711.952000000048
21,0,5399.007999999914
21,0,3699.904000000097
21,0,5012.848000000231
21,0,5553.472000000067
21,0,7252.57600000035
21,0,3004.816000000108
21,0,3236.5120000001043
21,0,2464.192000000272
21,0,2695.888000000268
21,0,3931.600000000093
21,0,3082.0480000004172
21,0,4626.688000000082
21,0,4626.688000000082
21,0,1769.1040000002831
21,0,5553.472000000067
21,0,1537.4079999998212
21,0,5090.0800000000745
21,0,1228.480000000447
21,0,2000.7999999998137
16,0,159335.99019478244
16,0,111683.08175953268
16,0,78899.63264754287
16,0,20459.247999999905
16,0,10959.712000000058
16,0,8333.824000000022
16,0,17910.591999999713
16,0,4858.383999999845
16,0,1074.0159999998286
16,0,12813.280000000028
16,0,996.7839999999851
16,0,5785.168000000063
16,0,7252.5759999998845
16,0,16211.487999999896
16,0,3951.302664441522
16,0,2155.2639999999665
16,0,1305.7120000002906
16,0,2309.728000000119
16,0,5553.472000000067
16,0,2850.3519999999553
16,0,1923.5679999999702
16,0,919.5520000001416
16,0,6403.02400000114
16,0,1460.1759999999776
16,0,2155.264000000432
16,0,3699.904000000097
16,0,1614.640000000596
16,0,2078.0320000005886
16,0,2000.7999999998137
16,0,3313.743999999948
16,0,4086.064000000246
18,0,232162.52483371802
18,0,393258.516826657
18,0,276526.36716630915
18,0,164717.65498539072
18,0,21231.567999999737
18,0,10728.016000000061
18,0,7020.879999999888
18,0,2618.655999999959
18,0,4703.9199999999255
18,0,5399.007999999914
18,0,19532.464000000153
18,0,5012.848000000231
18,0,2927.5840000002645
18,0,3082.0479999999516
18,0,2618.655999999959
18,0,2773.1200000001118
18,0,5244.544000000693
18,0,1691.8720000004396
18,0,5012.848000000231
18,0,16211.488000001758
18,0,4163.296000001021
18,0,3777.1360000008717
18,0,8411.056000000797
18,0,3236.5120000001043
18,0,1460.1759999999776
18,0,6403.02400000114
17,0,115476.83535827979
17,0,15516.399999999907
17,0,1151.247999999905
17,0,3699.903999999864
17,0,7870.43200000003
17,0,1074.0160000002943
17,0,18120.792354716454
17,0,2541.4240000001155
17,0,4472.224000000395
17,0,2232.4960000002757
17,0,1228.4799999999814
17,0,5399.007999999914
17,0,2541.4240000001155
17,0,996.7839999999851
17,0,1151.2480000001378
17,0,1382.944000000134
17,0,2000.7999999998137
17,0,1923.5679999999702
17,0,10187.392000000924
17,0,4703.9199999999255
19,0,44955.7847818468
19,0,3468.207999999984
19,0,19223.53600000008
19,0,5012.847999999998
19,0,6943.648000000045
19,0,7098.111999999732
19,0,2695.888000000268
19,0,3159.2800000002608
19,0,3931.600000000559
19,0,9260.608000000473
19,0,1769.1040000002831
19,0,1537.4080000002868
19,0,919.5520000001416
19,0,5707.936000000685
19,0,1074.0160000002943
19,0,1769.1040000002831
19,0,1305.7120000002906
19,0,919.5520000001416
19,0,1537.4080000002868
19,0,2618.6560000004247
19,0,2618.656000001356
19,0,1614.640000000596
19,0,1769.1040000002831
19,0,3777.1360000008717
19,0,1151.2480000006035
19,0,1691.8720000004396
19,0,1305.7120000002906
19,0,2618.6560000004247
12,0,216053.71021044825
12,0,208836.0765408323
12,0,25876.95187016111
12,0,5553.472000000067
12,0,9337.839999999851
12,0,2000.7999999998137
12,0,9106.143999999855
12,0,8488.287999999942
12,0,13199.439999999944
12,0,2232.4960000002757
12,0,7793.199999999721
12,0,5630.703999999911
12,0,5399.007999999914
12,0,6711.951999999583
12,0,17292.736000000034
12,0,11809.264000000432
12,0,3313.743999999948
12,0,2541.42399999965
12,0,4240.527999999933
12,0,1228.480000000447
12,0,1151.2480000006035
12,0,10959.71200000029
12,0,3236.5120000001043
12,0,1074.0159999998286
12,0,996.7839999999851
12,0,2541.424000000581
12,0,4626.688000001013
12,0,1923.5680000009015
13,0,25643.744000000006
13,0,1537.4079999998212
13,0,2464.1919999998063
13,0,2541.4239999998827
13,0,1846.3360000001267
13,0,4086.06399999978
13,0,5583.014839083888
13,0,1846.3360000001267
13,0,1537.4080000002868
13,0,919.5520000001416
13,0,1460.1759999999776
13,0,2000.7999999998137
13,0,1769.1040000002831
13,0,2000.7999999998137
13,0,919.5520000001416
13,0,1074.0159999998286
13,0,1691.8720000004396
20,0,81260.2816130328
20,0,10650.784000000102
20,0,1382.9439999999013
20,0,6094.095999999903
20,0,1460.1759999999776
20,0,1151.2480000001378
20,0,2386.9599999999627
20,0,919.5520000001416
20,0,3159.2800000002608
20,0,2078.032000000123
20,0,1305.7120000002906
20,0,11577.568000000902
20,0,8642.752000000328
20,0,1382.944000000134
20,0,1151.2480000006035
20,0,2695.888000000268
20,0,2618.6560000004247
20,0,1537.4079999998212
20,0,1151.2480000006035
20,0,1074.0159999998286
20,0,1074.0159999998286
22,0,16597.696924634394
22,0,22087.862992087146
22,0,13817.29600000009
22,0,2000.8000000002794
22,0,996.7839999999851
22,0,1074.0160000002943
22,0,1769.1039999998175
22,0,1614.6400000001304
22,0,1074.0160000002943
22,0,1537.4079999998212
22,0,919.5520000001416
22,0,1537.4079999998212
22,0,1691.8720000004396
22,0,1769.1040000002831
22,0,1846.3360000001267
22,0,4317.760000000708
22,0,1614.640000000596
22,0,1305.7120000002906
15,0,3390.976000000024
15,0,3622.6720000000205
15,0,2541.4240000001155
15,0,2695.888000000268
15,0,5553.472000000067
15,0,3699.903999999631
15,0,919.5520000001416
15,0,2155.264000000432
15,0,4163.296000000089
15,0,2078.0320000005886
15,0,3344.9208843605593
15,0,2309.728000000119
15,0,2232.4960000002757
15,0,1151.2480000006035
