source,destination,delay_value
8,0,59900.6781206727
8,0,1151.247999999905
8,0,1460.1759999999776
8,0,1769.1040000002831
8,0,1537.4079999998212
8,1,3460.9759999995586
8,1,8944.447999999626
8,1,2456.9600000004284
8,1,3924.3680000002496
8,1,4511.460123233497
8,1,6395.792000000365
8,1,7631.504000001587
8,1,4773.9199999999255
8,2,919.5519999999087
8,2,2000.7999999998137
8,2,1228.4799999999814
8,2,4565.487472190522
8,2,2158.874628176447
8,2,919.5520000001416
8,2,1846.3360000001267
8,2,1614.640000000596
8,3,9184.108678973746
8,3,1846.3360000001267
8,3,1305.7120000002906
8,3,3545.44000000041
8,3,2078.0320000005886
8,3,1614.640000000596
8,4,227902.71789422806
8,4,4620.0087384912185
8,4,2534.192000000272
8,4,5005.615999999922
8,4,4237.515679901466
8,4,4696.688000001013
8,4,2920.3519999999553
8,4,2611.424000000581
8,5,919.5520000001416
8,5,3004.8159999996424
8,5,3082.0480000004172
8,5,2078.0320000005886
8,5,1460.1759999999776
8,5,2618.6560000004247
8,5,1537.4079999998212
8,5,1923.5679999999702
8,5,3626.435941936448
8,6,12741.024
8,6,28969.732067880337
8,6,2000.8000000002794
8,6,1769.1039999998175
8,6,3545.44000000041
8,6,3699.9040000005625
8,6,1537.4080000002868
8,6,1769.1040000002831
8,6,1382.944000000134
8,6,2000.7999999998137
8,6,1923.5679999999702
8,9,113944.0849219858
8,9,4387.7599999997765
8,9,3074.816000000108
8,9,7949.106425223406
8,9,2843.1200000001118
8,9,2920.3519999999553
8,9,8017.664000000339
8,9,3692.6720000002533
8,10,4240.527999999933
8,10,3004.815999999875
8,10,1537.4080000002868
8,10,996.7839999999851
8,10,2773.1200000001118
8,10,2000.7999999998137
8,10,1923.5679999999702
8,10,2000.7999999998137
8,10,1614.640000000596
8,10,2078.0320000005886
10,0,86499.94052728443
10,0,63556.05411256582
10,0,1846.3360000001267
10,0,1614.6400000001304
10,0,5862.400000001304
10,0,2000.7999999998137
10,1,2232.49599999981
10,1,996.7839999999851
10,1,1382.944000000134
10,1,1846.336000001058
10,1,996.7839999999851
10,1,2078.0320000005886
10,1,1460.1759999999776
10,1,3777.1359999999404
10,1,1074.0159999998286
10,1,996.7839999999851
10,2,8797.216000000131
10,2,5167.3120000000345
10,2,7542.791331561049
10,2,996.7839999999851
10,2,1460.1759999999776
10,2,996.7839999999851
10,2,2464.1920000007376
10,3,8944.447999999626
10,3,9604.623403345235
10,3,3847.1359999999404
10,3,3924.367999999784
10,3,5461.974892624654
10,3,4078.8320000004023
10,3,5932.4000000003725
10,4,2379.7279999996535
10,4,3383.743999999948
10,4,4235.903414778877
10,4,3074.8160000005737
10,4,3383.743999999948
10,4,3692.6720000011846
10,4,2688.656000001356
10,4,3383.744000000879
10,5,14512.383999999962
10,5,6634.719999999972
10,5,2000.8000000002794
10,5,1813.3085180185735
10,6,92780.8288565391
10,6,3236.5120000001043
10,6,2078.0320000005886
10,6,4844.149800648913
10,6,1151.2480000006035
10,6,919.5520000001416
10,8,3082.0479999999516
