source,destination,count,mean,min_delay,max_delay,range
0,1,17,21372.14270405177,2548.4799999999814,61696.76616748236,59148.28616748238
0,2,17,21894.573762875283,2548.4799999999814,61696.76616748236,59148.28616748238
0,3,17,21285.834939345896,2548.4799999999814,61696.76616748236,59148.28616748238
0,4,17,21780.986939345938,2548.4799999999814,61696.76616748236,59148.28616748238
0,5,17,23936.966773408232,4015.711999999825,65326.49416748341,61310.78216748359
0,6,17,21367.59964522825,2548.4799999999814,61696.76616748236,59148.28616748238
0,7,16,25037.895437013838,5906.402384025743,68620.38362887595,62713.981244850205
0,8,16,26115.55462305517,4401.87200000044,65326.49416748341,60924.62216748297
0,9,14,26903.4305727267,4401.87200000044,63086.76616748236,58684.89416748192
0,10,17,26755.387880522416,5869.1039999998175,72431.48616748303,66562.38216748321
0,11,17,23175.56105699312,3938.479999999981,64554.17416748312,60615.69416748314
0,12,17,21285.834939345896,2548.4799999999814,61696.76616748236,59148.28616748238
0,13,17,24402.52388052252,4401.87200000044,64554.17416748312,60152.30216748268
0,14,17,26487.368115816415,5869.1039999998175,69728.5421674829,63859.43816748308
0,15,17,21285.834939345896,2548.4799999999814,61696.76616748236,59148.28616748238
0,16,17,21285.834939345896,2548.4799999999814,61696.76616748236,59148.28616748238
0,17,17,21285.834939345896,2548.4799999999814,61696.76616748236,59148.28616748238
0,18,17,21285.834939345896,2548.4799999999814,61696.76616748236,59148.28616748238
0,19,16,26033.495623055045,4401.87200000044,65326.49416748341,60924.62216748297
0,20,17,21462.993527581217,2548.4799999999814,61696.76616748236,59148.28616748238
0,21,17,21285.834939345896,2548.4799999999814,61696.76616748236,59148.28616748238
0,22,16,24276.511623054816,3938.479999999981,67102.8301674826,63164.350167482626
0,23,16,20352.477345676787,2548.4799999999814,61696.76616748236,59148.28616748238
0,24,17,21285.834939345896,2548.4799999999814,61696.76616748236,59148.28616748238
